 
test4\huge-length-dummy-sequence.[0000001-0086400].dpx - 86400 frames
 
         2766818 function calls (2766758 primitive calls) in 17.038 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:147(HelpFormatter)
        3    0.000    0.000    0.000    0.000 locale.py:334(normalize)
       26    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
       14    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
       10    0.000    0.000    0.000    0.000 argparse.py:95(_callable)
       19    0.000    0.000    0.000    0.000 {hasattr}
        4    0.000    0.000    0.000    0.000 argparse.py:1422(_pop_action_class)
        4    0.000    0.000    0.000    0.000 argparse.py:763(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:2225(_get_value)
       10    0.000    0.000    0.000    0.000 argparse.py:1225(_registry_get)
        1    0.000    0.000    0.000    0.000 argparse.py:2176(_get_values)
        7    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 collections.py:25(OrderedDict)
        3    0.000    0.000    0.000    0.000 glob.py:77(has_magic)
       40    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1525(ArgumentParser)
        1    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:863(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:1426(_get_handler)
        4    0.000    0.000    0.000    0.000 argparse.py:564(format)
        1    0.000    0.000    0.000    0.000 ntpath.py:196(basename)
        4    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        4    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        4    0.000    0.000    0.000    0.000 os.py:422(__getitem__)
       13    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        1    0.000    0.000    0.000    0.000 argparse.py:981(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:805(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1000(__init__)
        7    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:840(__init__)
       16    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        1    0.000    0.000    0.000    0.000 argparse.py:1371(_get_positional_kwargs)
        4    0.000    0.000    0.000    0.000 argparse.py:1435(_check_conflict)
        4    0.000    0.000    0.000    0.000 argparse.py:197(__init__)
        9    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 argparse.py:555(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1167(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 collections.py:355(Counter)
        1    0.000    0.000    0.000    0.000 fnmatch.py:81(translate)
        6    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
