 
test4\huge-length-dummy-sequence.[0000001-0086400].dpx - 86400 frames
 
         2248510 function calls (2248446 primitive calls) in 8.437 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.011    0.011    8.437    8.437 pySequenceTester.py:8(<module>)
        1    1.421    1.421    3.339    3.339 pySequenceTester.py:176(pstBuildSequences)
        1    0.003    0.003    2.547    2.547 pySequenceTester.py:144(pstGetRawFileList)
        1    0.065    0.065    2.525    2.525 glob.py:10(glob)
    86401    0.215    0.000    2.459    0.000 glob.py:18(iglob)
        1    0.009    0.009    2.284    2.284 pySequenceTester.py:148(pstCleanUpFileList)
        2    0.201    0.100    1.790    0.895 {map}
   432008    1.781    0.000    1.781    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.003    0.003    1.553    1.553 glob.py:49(glob1)
    86402    1.339    0.000    1.505    0.000 ntpath.py:164(split)
        1    0.309    0.309    0.921    0.921 fnmatch.py:45(filter)
        2    0.167    0.084    0.771    0.385 {filter}
    86401    0.384    0.000    0.692    0.000 ntpath.py:63(join)
    86400    0.203    0.000    0.548    0.000 pySequenceTester.py:132(pstSmartPattern)
        1    0.504    0.504    0.504    0.504 {nt.listdir}
        1    0.139    0.139    0.373    0.373 {method 'sort' of 'list' objects}
    86401    0.206    0.000    0.361    0.000 ntpath.py:42(normcase)
    86401    0.189    0.000    0.266    0.000 ntpath.py:55(isabs)
    86399    0.234    0.000    0.234    0.000 pySequenceTester.py:122(pstSmartSort)
   172803    0.199    0.000    0.199    0.000 ntpath.py:122(splitdrive)
   259201    0.199    0.000    0.199    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.006    0.006    0.166    0.166 pySequenceTester.py:167(pstFetchInfoToFileList)
   259534    0.159    0.000    0.159    0.000 {method 'append' of 'list' objects}
173145/173131    0.086    0.000    0.086    0.000 {len}
    86400    0.084    0.000    0.084    0.000 pySequenceTester.py:155(pstFetchFilesize)
    86411    0.079    0.000    0.079    0.000 {method 'replace' of 'str' objects}
    86404    0.076    0.000    0.076    0.000 {method 'lower' of 'str' objects}
        1    0.059    0.059    0.065    0.065 pySequenceTester.py:227(pstOutputSequences)
    86400    0.056    0.000    0.056    0.000 glob.py:60(<lambda>)
        1    0.019    0.019    0.019    0.019 {sorted}
        1    0.004    0.004    0.016    0.016 argparse.py:62(<module>)
        1    0.008    0.008    0.012    0.012 collections.py:1(<module>)
        8    0.005    0.001    0.005    0.001 {range}
       16    0.000    0.000    0.005    0.000 re.py:228(_compile)
        8    0.000    0.000    0.005    0.001 sre_compile.py:495(compile)
        1    0.000    0.000    0.005    0.005 pySequenceTester.py:67(pstParseArgs)
        1    0.004    0.004    0.004    0.004 heapq.py:31(<module>)
       14    0.000    0.000    0.004    0.000 re.py:188(compile)
        1    0.003    0.003    0.004    0.004 glob.py:1(<module>)
        1    0.000    0.000    0.003    0.003 argparse.py:1543(__init__)
