 
test4\huge-length-dummy-sequence.[0000001-0086400].dpx - 86400 frames
 
         2853310 function calls (2853246 primitive calls) in 17.188 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.010    0.010   17.188   17.188 pySequenceTester.py:8(<module>)
        1    0.008    0.008   11.081   11.081 pySequenceTester.py:147(pstCleanUpFileList)
        2    0.231    0.116    9.590    4.795 {filter}
    86400    0.988    0.000    9.302    0.000 pySequenceTester.py:132(pstSmartPattern)
    86401    6.622    0.000    6.622    0.000 {nt.stat}
        1    1.399    1.399    3.299    3.299 pySequenceTester.py:175(pstBuildSequences)
        1    0.003    0.003    2.544    2.544 pySequenceTester.py:143(pstGetRawFileList)
        1    0.065    0.065    2.525    2.525 glob.py:10(glob)
    86401    0.214    0.000    2.460    0.000 glob.py:18(iglob)
   432008    1.932    0.000    1.932    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        2    0.181    0.090    1.767    0.884 {map}
   172801    0.915    0.000    1.630    0.000 ntpath.py:63(join)
        1    0.003    0.003    1.543    1.543 glob.py:49(glob1)
    86402    1.355    0.000    1.503    0.000 ntpath.py:164(split)
        1    0.335    0.335    0.938    0.938 fnmatch.py:45(filter)
   172801    0.422    0.000    0.618    0.000 ntpath.py:55(isabs)
        1    0.478    0.478    0.478    0.478 {nt.listdir}
        1    0.141    0.141    0.375    0.375 {method 'sort' of 'list' objects}
    86401    0.202    0.000    0.358    0.000 ntpath.py:42(normcase)
   259203    0.300    0.000    0.300    0.000 ntpath.py:122(splitdrive)
    86400    0.171    0.000    0.255    0.000 stat.py:49(S_ISREG)
    86399    0.234    0.000    0.234    0.000 pySequenceTester.py:122(pstSmartSort)
   259201    0.193    0.000    0.193    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.008    0.008    0.168    0.168 pySequenceTester.py:166(pstFetchInfoToFileList)
   259534    0.155    0.000    0.155    0.000 {method 'append' of 'list' objects}
259545/259531    0.140    0.000    0.140    0.000 {len}
    86401    0.084    0.000    0.084    0.000 stat.py:24(S_IFMT)
    86400    0.083    0.000    0.083    0.000 pySequenceTester.py:154(pstFetchFilesize)
    86411    0.081    0.000    0.081    0.000 {method 'replace' of 'str' objects}
    86404    0.075    0.000    0.075    0.000 {method 'lower' of 'str' objects}
        1    0.060    0.060    0.065    0.065 pySequenceTester.py:226(pstOutputSequences)
    86400    0.056    0.000    0.056    0.000 glob.py:60(<lambda>)
        1    0.016    0.016    0.016    0.016 {sorted}
        1    0.004    0.004    0.012    0.012 argparse.py:62(<module>)
        1    0.005    0.005    0.008    0.008 collections.py:1(<module>)
       16    0.000    0.000    0.006    0.000 re.py:228(_compile)
        8    0.005    0.001    0.005    0.001 {range}
        1    0.000    0.000    0.005    0.005 pySequenceTester.py:67(pstParseArgs)
        8    0.000    0.000    0.005    0.001 sre_compile.py:495(compile)
       14    0.000    0.000    0.005    0.000 re.py:188(compile)
        1    0.000    0.000    0.003    0.003 argparse.py:1543(__init__)
        1    0.003    0.003    0.003    0.003 heapq.py:31(<module>)
        1    0.002    0.002    0.003    0.003 glob.py:1(<module>)
        8    0.000    0.000    0.003    0.000 sre_parse.py:663(parse)
     13/8    0.000    0.000    0.003    0.000 sre_parse.py:301(_parse_sub)
     14/9    0.001    0.000    0.002    0.000 sre_parse.py:379(_parse)
        8    0.000    0.000    0.002    0.000 sre_compile.py:480(_code)
        4    0.000    0.000    0.002    0.000 argparse.py:1250(add_argument)
        3    0.000    0.000    0.001    0.000 argparse.py:1169(__init__)
     28/8    0.001    0.000    0.001    0.000 sre_compile.py:32(_compile)
        1    0.000    0.000    0.001    0.001 argparse.py:1687(parse_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1694(parse_known_args)
        4    0.000    0.000    0.001    0.000 argparse.py:2299(_get_formatter)
        1    0.000    0.000    0.001    0.001 argparse.py:1729(_parse_known_args)
        4    0.000    0.000    0.001    0.000 argparse.py:154(__init__)
        2    0.000    0.000    0.001    0.000 re.py:134(match)
        8    0.000    0.000    0.001    0.000 sre_compile.py:361(_compile_info)
        1    0.000    0.000    0.001    0.001 argparse.py:1874(consume_positionals)
        1    0.000    0.000    0.001    0.001 argparse.py:2015(_match_arguments_partial)
       71    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
    41/21    0.000    0.000    0.001    0.000 sre_parse.py:140(getwidth)
      104    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
        8    0.000    0.000    0.000    0.000 sre_compile.py:178(_compile_charset)
       87    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
        3    0.000    0.000    0.000    0.000 gettext.py:565(gettext)
        3    0.000    0.000    0.000    0.000 gettext.py:527(dgettext)
        1    0.000    0.000    0.000    0.000 argparse.py:1797(consume_optional)
        3    0.000    0.000    0.000    0.000 gettext.py:461(translation)
        8    0.000    0.000    0.000    0.000 sre_compile.py:207(_optimize_charset)
        3    0.000    0.000    0.000    0.000 gettext.py:421(find)
        1    0.000    0.000    0.000    0.000 argparse.py:1996(_match_argument)
        2    0.000    0.000    0.000    0.000 argparse.py:1297(add_argument_group)
        2    0.000    0.000    0.000    0.000 argparse.py:1473(__init__)
      135    0.000    0.000    0.000    0.000 {isinstance}
        3    0.000    0.000    0.000    0.000 gettext.py:130(_expand_lang)
       59    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
        2    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
       13    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        4    0.000    0.000    0.000    0.000 argparse.py:1667(_add_action)
        4    0.000    0.000    0.000    0.000 argparse.py:1495(_add_action)
        1    0.000    0.000    0.000    0.000 genericpath.py:38(isdir)
        4    0.000    0.000    0.000    0.000 argparse.py:763(__init__)
       53    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
       34    0.000    0.000    0.000    0.000 argparse.py:1221(register)
        4    0.000    0.000    0.000    0.000 argparse.py:571(_format_args)
       35    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
        3    0.000    0.000    0.000    0.000 glob.py:77(has_magic)
        1    0.000    0.000    0.000    0.000 argparse.py:1000(__init__)
        4    0.000    0.000    0.000    0.000 argparse.py:1307(_add_action)
       59    0.000    0.000    0.000    0.000 {min}
        8    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1776(take_action)
        3    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1387(_get_optional_kwargs)
       12    0.000    0.000    0.000    0.000 os.py:444(get)
       74    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       28    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
        3    0.000    0.000    0.000    0.000 locale.py:334(normalize)
        1    0.000    0.000    0.000    0.000 argparse.py:147(HelpFormatter)
